Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:50:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:50:49     all   11.33    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   88.32
06:50:50     all    1.35    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   97.90
06:50:51     all    1.53    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.29
06:50:52     all    1.38    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.44
06:50:53     all    1.61    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.28
06:50:54     all    1.60    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.22
06:50:55     all    1.39    0.00    0.26    0.01    0.00    0.00    0.00    0.00    0.00   98.33
06:50:56     all    1.55    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.25
06:50:57     all   11.05    0.00    3.47    0.00    0.00    0.00    0.00    0.00    0.00   85.48
06:50:58     all   15.76    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   83.24
06:50:59     all   15.72    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   83.57
06:51:00     all   16.28    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   83.19
06:51:01     all   18.51    0.00    0.88    0.00    0.00    0.00    0.00    0.00    0.00   80.61
06:51:02     all   23.33    0.00    1.82    0.00    0.00    0.00    0.00    0.00    0.00   74.84
06:51:03     all   19.62    0.00    1.56    0.00    0.00    0.00    0.00    0.00    0.00   78.82
06:51:04     all   17.20    0.00    1.35    0.00    0.00    0.01    0.00    0.00    0.00   81.43
06:51:05     all   19.93    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   78.36
06:51:06     all   18.78    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   80.05
06:51:07     all   16.63    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   82.11
06:51:08     all   15.48    0.03    0.99    0.00    0.00    0.00    0.00    0.00    0.00   83.50
06:51:09     all   17.04    0.01    0.78    0.00    0.00    0.03    0.00    0.00    0.00   82.14
06:51:10     all   17.25    0.00    0.39    0.00    0.00    0.01    0.00    0.00    0.00   82.35
06:51:11     all   16.41    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   83.13
06:51:12     all   17.90    0.00    0.45    0.00    0.00    0.01    0.00    0.00    0.00   81.64
06:51:13     all   13.38    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   86.37
06:51:14     all   14.02    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   85.58
06:51:15     all   17.23    0.00    0.33    0.00    0.00    0.01    0.00    0.00    0.00   82.42
06:51:16     all   17.98    0.00    0.49    0.00    0.00    0.00    0.00    0.00    0.00   81.53
06:51:17     all   18.55    0.00    0.32    0.00    0.00    0.01    0.00    0.00    0.00   81.11
06:51:18     all   20.42    0.00    0.45    0.00    0.00    0.00    0.00    0.00    0.00   79.13
06:51:19     all   22.51    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   77.08
06:51:20     all   21.96    0.00    0.43    0.00    0.00    0.01    0.00    0.00    0.00   77.59
06:51:21     all   16.00    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   83.71
06:51:22     all   16.23    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   83.55
06:51:23     all   14.72    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   84.85
06:51:24     all   23.92    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   75.72
06:51:25     all   19.88    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   79.80
06:51:26     all   29.14    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   70.12
06:51:27     all   17.74    0.00    1.18    0.00    0.00    0.00    0.00    0.00    0.00   81.08
06:51:28     all   13.95    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   85.03
06:51:29     all   13.99    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   85.21
06:51:30     all   12.92    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   86.07
06:51:31     all   12.57    0.00    0.93    0.01    0.00    0.00    0.00    0.00    0.00   86.48
06:51:32     all   11.28    0.00    1.11    0.00    0.00    0.01    0.00    0.00    0.00   87.59
06:51:33     all   14.10    0.00    1.07    0.00    0.00    0.00    0.00    0.00    0.00   84.83
06:51:34     all   12.29    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   87.16
06:51:35     all   12.92    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   86.04
06:51:36     all   13.79    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   85.48
06:51:37     all   15.14    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   84.02
06:51:38     all   16.75    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   81.86
06:51:39     all   13.38    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   85.91
06:51:40     all   14.64    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   84.56
06:51:41     all   11.71    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   86.92
06:51:42     all   16.37    0.00    1.31    0.00    0.00    0.00    0.00    0.00    0.00   82.32
06:51:43     all   24.35    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   73.91
06:51:44     all   26.77    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   71.20
06:51:45     all   22.94    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   75.44
06:51:46     all   19.60    0.00    2.30    0.00    0.00    0.00    0.00    0.00    0.00   78.11
