Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:49:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:49:27     all   11.30    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   88.31
06:49:28     all    1.32    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   97.85
06:49:29     all    1.53    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.32
06:49:30     all    1.37    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.49
06:49:31     all    1.64    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.12
06:49:32     all    1.81    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.87
06:49:33     all    1.47    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.33
06:49:34     all    1.58    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.26
06:49:35     all    1.24    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   98.32
06:49:36     all    1.35    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.53
06:49:37     all    1.54    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.32
06:49:38     all    1.70    0.00    0.28    0.00    0.00    0.01    0.00    0.00    0.00   98.01
06:49:39     all    1.69    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   97.92
06:49:40     all    1.96    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   97.61
06:49:41     all    1.57    0.00    0.14    0.00    0.00    0.01    0.00    0.00    0.00   98.28
06:49:42     all   20.27    0.00    9.34    0.00    0.00    0.00    0.00    0.00    0.00   70.39
06:49:43     all   34.98    0.00    2.03    0.00    0.00    0.01    0.00    0.00    0.00   62.98
06:49:44     all   33.16    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   65.80
06:49:45     all   34.31    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   64.64
06:49:46     all   56.24    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   39.64
06:49:47     all   38.62    0.00    2.92    0.00    0.00    0.00    0.00    0.00    0.00   58.46
06:49:48     all   38.03    0.00    2.22    0.00    0.00    0.00    0.00    0.00    0.00   59.75
06:49:49     all   39.34    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00   58.06
06:49:50     all   33.37    0.00    2.45    0.00    0.00    0.00    0.00    0.00    0.00   64.18
06:49:51     all   29.42    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   68.58
06:49:52     all   34.47    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   64.44
06:49:53     all   32.25    0.00    1.11    0.00    0.00    0.00    0.00    0.00    0.00   66.64
06:49:54     all   34.42    0.00    1.08    0.00    0.00    0.01    0.00    0.00    0.00   64.49
06:49:55     all   32.99    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   66.16
06:49:56     all   27.98    0.00    1.03    0.00    0.00    0.01    0.00    0.00    0.00   70.97
06:49:57     all   36.24    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   62.73
06:49:58     all   35.98    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   63.26
06:49:59     all   44.87    0.00    0.72    0.00    0.00    0.01    0.00    0.00    0.00   54.39
06:50:00     all   47.15    0.00    0.77    0.00    0.00    0.00    0.00    0.00    0.00   52.08
06:50:01     all   43.53    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   55.62
06:50:02     all   34.89    0.00    1.47    0.00    0.00    0.01    0.00    0.00    0.00   63.63
06:50:03     all   32.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   67.00
06:50:04     all   39.87    0.01    0.85    0.00    0.00    0.01    0.00    0.00    0.00   59.25
06:50:05     all   50.03    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   49.36
06:50:06     all   61.90    0.00    1.61    0.00    0.00    0.00    0.00    0.00    0.00   36.49
06:50:07     all   36.56    0.00    2.49    0.00    0.00    0.00    0.00    0.00    0.00   60.95
06:50:08     all   27.54    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   70.58
06:50:09     all   30.23    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   68.26
06:50:10     all   26.34    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   71.95
06:50:11     all   25.25    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   72.73
06:50:12     all   28.36    0.00    2.41    0.00    0.00    0.01    0.00    0.00    0.00   69.21
06:50:13     all   29.13    0.00    1.93    0.00    0.00    0.00    0.00    0.00    0.00   68.93
06:50:14     all   31.48    0.00    2.23    0.00    0.00    0.00    0.00    0.00    0.00   66.29
06:50:15     all   33.40    0.00    2.24    0.00    0.00    0.00    0.00    0.00    0.00   64.36
06:50:16     all   29.12    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   69.21
06:50:17     all   25.01    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   72.95
06:50:18     all   28.86    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   69.36
06:50:19     all   44.58    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   53.41
06:50:20     all   58.00    0.00    2.47    0.00    0.00    0.01    0.00    0.00    0.00   39.52
06:50:21     all   52.30    0.00    3.48    0.00    0.00    0.00    0.00    0.00    0.00   44.23
06:50:22     all   55.28    0.00    5.89    0.00    0.00    0.00    0.00    0.00    0.00   38.83
06:50:23     all   46.21    0.00    4.52    0.00    0.00    0.00    0.00    0.00    0.00   49.26
06:50:24     all   41.63    0.00    4.30    0.00    0.00    0.01    0.00    0.00    0.00   54.05
06:50:25     all   39.87    0.00    3.97    0.00    0.00    0.00    0.00    0.00    0.00   56.16
06:50:26     all   50.19    0.00    5.96    0.00    0.00    0.00    0.00    0.00    0.00   43.84
06:50:27     all   37.59    0.00    4.63    0.00    0.00    0.00    0.00    0.00    0.00   57.77
06:50:28     all   40.84    0.00    4.29    0.00    0.00    0.00    0.00    0.00    0.00   54.87
06:50:29     all   32.95    0.00    3.40    0.00    0.00    0.00    0.00    0.00    0.00   63.65
06:50:30     all   28.31    0.00    2.98    0.00    0.00    0.00    0.00    0.00    0.00   68.71
06:50:31     all   31.04    0.00    3.25    0.00    0.00    0.00    0.00    0.00    0.00   65.71
06:50:32     all   30.41    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   66.32
06:50:33     all   25.28    0.00    3.38    0.00    0.00    0.00    0.00    0.00    0.00   71.34
06:50:34     all   35.70    0.00    2.42    0.00    0.00    0.00    0.00    0.00    0.00   61.88
06:50:35     all   29.11    0.00    3.13    0.00    0.00    0.01    0.00    0.00    0.00   67.75
06:50:36     all   33.02    0.00    2.64    0.00    0.00    0.00    0.00    0.00    0.00   64.34
06:50:37     all   28.32    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   69.42
06:50:38     all   31.64    0.00    2.46    0.00    0.00    0.00    0.00    0.00    0.00   65.90
06:50:39     all   28.79    0.00    2.14    0.00    0.00    0.00    0.00    0.00    0.00   69.07
06:50:40     all   31.45    0.00    2.38    0.00    0.00    0.00    0.00    0.00    0.00   66.17
06:50:41     all   16.78    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   81.44
06:50:42     all   36.49    0.00    2.37    0.00    0.00    0.00    0.00    0.00    0.00   61.15
06:50:43     all   20.30    0.00    2.09    0.00    0.00    0.00    0.00    0.00    0.00   77.61
06:50:44     all   13.93    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   84.63
06:50:45     all    3.62    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   94.88
06:50:46     all    0.51    0.00    1.56    0.00    0.00    0.00    0.00    0.00    0.00   97.93
06:50:47     all    1.17    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   97.33
06:50:48     all    0.22    0.00    1.83    0.00    0.00    0.00    0.00    0.00    0.00   97.94
06:50:49     all   11.20    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   88.17
06:50:50     all    1.43    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.90
06:50:51     all    1.38    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.34
06:50:52     all    1.43    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.40
06:50:53     all    1.60    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.24
06:50:54     all    1.53    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.30
06:50:55     all    1.47    0.00    0.24    0.01    0.00    0.00    0.00    0.00    0.00   98.28
06:50:56     all    1.57    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.25
06:50:57     all    8.15    0.00    3.32    0.00    0.00    0.00    0.00    0.00    0.00   88.52
06:50:58     all   15.30    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   83.70
06:50:59     all   16.36    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   82.81
06:51:00     all   14.13    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   85.39
06:51:01     all   17.58    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   81.74
06:51:02     all   24.83    0.00    1.66    0.00    0.00    0.00    0.00    0.00    0.00   73.52
06:51:03     all   18.47    0.00    1.79    0.00    0.00    0.00    0.00    0.00    0.00   79.74
06:51:04     all   18.99    0.00    1.43    0.00    0.00    0.01    0.00    0.00    0.00   79.56
06:51:05     all   18.93    0.00    1.56    0.00    0.00    0.00    0.00    0.00    0.00   79.51
06:51:06     all   19.81    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   78.99
Average:     all   24.49    0.00    1.79    0.00    0.00    0.00    0.00    0.00    0.00   73.73
