Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:52:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:52:04     all   11.58    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00   88.04
06:52:05     all    1.11    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.12
06:52:06     all    1.64    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.15
06:52:07     all    1.61    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.21
06:52:08     all    1.32    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.50
06:52:09     all    1.57    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.26
06:52:10     all    1.58    0.00    0.21    0.01    0.00    0.01    0.00    0.00    0.00   98.18
06:52:11     all    1.54    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.18
06:52:12     all    1.26    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.24
06:52:13     all    1.53    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.29
06:52:14     all    1.35    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.46
06:52:15     all    1.63    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.18
06:52:16     all    2.15    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.53
06:52:17     all    1.38    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.42
06:52:18     all    6.54    0.00    8.45    0.00    0.00    0.00    0.00    0.00    0.00   85.02
06:52:19     all   25.69    0.00    8.92    0.00    0.00    0.00    0.00    0.00    0.00   65.39
06:52:20     all   34.36    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   63.68
06:52:21     all   34.68    0.00    1.37    0.00    0.00    0.00    0.00    0.00    0.00   63.95
06:52:22     all   35.31    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   63.86
06:52:23     all   39.36    0.00    0.95    0.00    0.00    0.01    0.00    0.00    0.00   59.68
06:52:24     all   64.58    0.01    4.58    0.00    0.00    0.00    0.00    0.00    0.00   30.82
