Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:58:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:58:57     all   11.48    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   88.12
06:58:58     all    1.26    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   97.94
06:58:59     all    1.88    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.87
06:59:00     all    1.72    0.01    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.94
06:59:01     all    1.61    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.11
06:59:02     all    1.38    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.40
06:59:03     all    1.60    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.17
06:59:04     all    1.65    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.15
06:59:05     all    1.10    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   98.44
06:59:06     all    1.61    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.14
06:59:07     all    1.60    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.26
06:59:08     all    1.36    0.01    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.49
06:59:09     all    1.56    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.24
06:59:10     all    1.56    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.25
06:59:11     all    1.39    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.43
06:59:12     all   23.26    0.00   14.02    0.01    0.00    0.00    0.00    0.00    0.00   62.70
06:59:13     all   30.69    0.00    0.88    0.00    0.00    0.01    0.00    0.00    0.00   68.42
06:59:14     all   69.29    0.00    5.24    0.00    0.00    0.00    0.00    0.00    0.00   25.47
06:59:15     all   57.20    0.00    4.64    0.00    0.00    0.00    0.00    0.00    0.00   38.16
06:59:16     all   31.99    0.00    2.16    0.00    0.00    0.00    0.00    0.00    0.00   65.85
06:59:17     all   35.12    0.00    1.57    0.00    0.00    0.00    0.00    0.00    0.00   63.31
06:59:18     all   32.64    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   65.91
06:59:19     all   28.64    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   70.61
06:59:20     all   26.34    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   72.88
06:59:21     all   31.74    0.00    0.82    0.00    0.00    0.01    0.00    0.00    0.00   67.43
06:59:22     all   43.62    0.00    0.93    0.00    0.00    0.00    0.00    0.00    0.00   55.45
06:59:23     all   39.74    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   59.51
06:59:24     all   30.44    0.00    0.93    0.00    0.00    0.01    0.00    0.00    0.00   68.61
06:59:25     all   26.95    0.00    0.62    0.00    0.00    0.01    0.00    0.00    0.00   72.42
06:59:26     all   44.76    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   54.61
06:59:27     all   70.76    0.00    2.21    0.00    0.00    0.00    0.00    0.00    0.00   27.04
06:59:28     all   73.93    0.00    5.26    0.00    0.00    0.00    0.00    0.00    0.00   20.81
06:59:29     all   46.71    0.00    3.20    0.00    0.00    0.00    0.00    0.00    0.00   50.09
