Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:04:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:04:57     all   11.56    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   88.05
07:04:58     all    1.08    0.00    0.70    0.01    0.00    0.00    0.00    0.00    0.00   98.21
07:04:59     all    1.52    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.35
07:05:00     all    1.56    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.29
07:05:01     all    1.55    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.22
07:05:02     all    2.63    0.00    0.96    0.00    0.00    0.00    0.00    0.00    0.00   96.41
07:05:03     all    2.59    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   96.72
07:05:04     all    1.58    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.17
07:05:05     all    1.13    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   98.43
07:05:06     all    1.57    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.26
07:05:07     all    1.74    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.04
07:05:08     all    1.57    0.01    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.08
07:05:09     all    1.58    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.18
07:05:10     all    1.54    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.28
07:05:11     all    1.40    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.47
07:05:12     all   16.33    0.00    3.49    0.00    0.00    0.00    0.00    0.00    0.00   80.17
07:05:13     all   30.34    0.00    1.43    0.00    0.00    0.00    0.00    0.00    0.00   68.22
07:05:14     all   28.64    0.00    0.72    0.00    0.00    0.00    0.00    0.00    0.00   70.63
07:05:15     all   44.12    0.00    3.23    0.00    0.00    0.00    0.00    0.00    0.00   52.65
07:05:16     all   31.02    0.00    2.37    0.00    0.00    0.00    0.00    0.00    0.00   66.62
07:05:17     all   34.31    0.00    2.26    0.00    0.00    0.01    0.00    0.00    0.00   63.42
07:05:18     all   31.79    0.00    1.85    0.00    0.00    0.01    0.00    0.00    0.00   66.35
07:05:19     all   30.82    0.00    0.73    0.00    0.00    0.00    0.00    0.00    0.00   68.46
07:05:20     all   32.31    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   67.00
07:05:21     all   27.02    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   72.55
07:05:22     all   31.27    0.00    0.34    0.00    0.00    0.01    0.00    0.00    0.00   68.38
07:05:23     all   33.81    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   65.69
07:05:24     all   39.71    0.00    0.95    0.00    0.00    0.00    0.00    0.00    0.00   59.34
07:05:25     all   33.19    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   66.03
07:05:26     all   29.96    0.00    0.54    0.00    0.00    0.01    0.00    0.00    0.00   69.48
07:05:27     all   37.15    0.00    0.59    0.00    0.00    0.01    0.00    0.00    0.00   62.25
07:05:28     all   45.07    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   54.11
07:05:29     all   33.12    0.00    1.73    0.00    0.00    0.00    0.00    0.00    0.00   65.16
07:05:30     all   28.66    0.00    1.86    0.00    0.00    0.00    0.00    0.00    0.00   69.47
07:05:31     all   27.08    0.00    1.07    0.00    0.00    0.00    0.00    0.00    0.00   71.85
07:05:32     all   21.62    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   77.10
07:05:33     all   25.33    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   73.04
07:05:34     all   32.67    0.00    1.85    0.00    0.00    0.00    0.00    0.00    0.00   65.47
07:05:35     all   29.40    0.00    2.09    0.00    0.00    0.00    0.00    0.00    0.00   68.51
07:05:36     all   36.63    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   61.92
07:05:37     all   36.94    0.00    2.56    0.00    0.00    0.00    0.00    0.00    0.00   60.50
07:05:38     all   40.48    0.00    3.10    0.00    0.00    0.00    0.00    0.00    0.00   56.42
07:05:39     all   39.62    0.00    3.80    0.00    0.00    0.00    0.00    0.00    0.00   56.58
07:05:40     all   38.94    0.00    4.68    0.00    0.00    0.00    0.00    0.00    0.00   56.38
07:05:41     all   37.44    0.00    4.86    0.00    0.00    0.00    0.00    0.00    0.00   57.70
07:05:42     all   37.96    0.00    4.54    0.00    0.00    0.03    0.00    0.00    0.00   57.47
07:05:43     all   35.15    0.00    3.57    0.00    0.00    0.00    0.00    0.00    0.00   61.28
07:05:44     all   39.47    0.01    3.42    0.00    0.00    0.00    0.00    0.00    0.00   57.09
07:05:45     all   27.81    0.00    3.90    0.00    0.00    0.00    0.00    0.00    0.00   68.28
07:05:46     all   20.17    0.00    2.58    0.00    0.00    0.00    0.00    0.00    0.00   77.25
07:05:47     all   30.21    0.00    2.42    0.00    0.00    0.00    0.00    0.00    0.00   67.36
07:05:48     all   24.90    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   73.22
07:05:49     all   24.98    0.00    2.47    0.00    0.00    0.00    0.00    0.00    0.00   72.56
07:05:50     all   29.37    0.00    1.80    0.00    0.00    0.00    0.00    0.00    0.00   68.83
07:05:51     all   27.82    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   70.15
07:05:52     all   25.53    0.00    2.76    0.00    0.00    0.01    0.00    0.00    0.00   71.70
