Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:15:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:27     all   11.44    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   88.11
07:15:28     all    1.08    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   98.14
07:15:29     all    1.51    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.36
07:15:30     all    1.45    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.40
07:15:31     all    1.58    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.21
07:15:32     all    1.93    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   97.43
07:15:33     all    1.92    0.00    0.38    0.01    0.00    0.00    0.00    0.00    0.00   97.69
07:15:34     all    1.57    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.24
07:15:35     all    1.62    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.21
07:15:36     all    1.43    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.39
07:15:37     all    1.29    0.00    0.39    0.00    0.00    0.01    0.00    0.00    0.00   98.31
07:15:38     all    1.54    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.17
07:15:39     all    1.50    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.36
07:15:40     all    1.43    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.40
07:15:41     all    1.57    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.25
07:15:42     all    1.51    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.35
07:15:43     all    1.60    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.18
07:15:44     all    1.54    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.25
07:15:45     all    1.53    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.29
07:15:46     all    1.45    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.40
07:15:47     all   20.86    0.00    3.95    0.00    0.00    0.00    0.00    0.00    0.00   75.18
07:15:48     all   36.07    0.00    1.55    0.00    0.00    0.00    0.00    0.00    0.00   62.38
07:15:49     all   39.27    0.00    1.68    0.00    0.00    0.01    0.00    0.00    0.00   59.03
07:15:50     all   46.26    0.00    3.39    0.00    0.00    0.00    0.00    0.00    0.00   50.35
07:15:51     all   39.18    0.00    2.96    0.00    0.00    0.00    0.00    0.00    0.00   57.86
07:15:52     all   38.96    0.00    2.44    0.00    0.00    0.01    0.00    0.00    0.00   58.59
07:15:53     all   40.36    0.00    1.31    0.00    0.00    0.03    0.00    0.00    0.00   58.30
07:15:54     all   37.68    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   61.64
07:15:55     all   35.92    0.00    0.92    0.00    0.00    0.00    0.00    0.00    0.00   63.16
07:15:56     all   39.56    0.00    0.73    0.00    0.00    0.03    0.00    0.00    0.00   59.68
07:15:57     all   43.70    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   55.61
07:15:58     all   49.35    0.00    0.87    0.00    0.00    0.00    0.00    0.00    0.00   49.78
07:15:59     all   33.72    0.00    0.66    0.00    0.00    0.01    0.00    0.00    0.00   65.60
07:16:00     all   34.03    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   64.98
07:16:01     all   50.01    0.00    0.60    0.00    0.00    0.01    0.00    0.00    0.00   49.38
07:16:02     all   44.37    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   53.75
07:16:03     all   40.17    0.00    2.34    0.00    0.00    0.00    0.00    0.00    0.00   57.49
07:16:04     all   25.77    0.00    1.77    0.00    0.00    0.01    0.00    0.00    0.00   72.45
07:16:05     all   30.75    0.00    1.63    0.01    0.00    0.00    0.00    0.00    0.00   67.60
07:16:06     all   31.69    0.00    1.13    0.00    0.00    0.00    0.00    0.00    0.00   67.18
07:16:07     all   35.46    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   62.56
07:16:08     all   33.88    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   63.61
07:16:09     all   43.79    0.00    2.55    0.00    0.00    0.00    0.00    0.00    0.00   53.66
07:16:10     all   47.81    0.00    3.01    0.00    0.00    0.01    0.00    0.00    0.00   49.17
07:16:11     all   42.40    0.00    3.75    0.00    0.00    0.00    0.00    0.00    0.00   53.85
07:16:12     all   45.95    0.00    5.11    0.00    0.00    0.00    0.00    0.00    0.00   48.95
07:16:13     all   53.93    0.00    5.26    0.00    0.00    0.01    0.00    0.00    0.00   40.79
07:16:14     all   50.75    0.00    4.64    0.00    0.00    0.00    0.00    0.00    0.00   44.61
07:16:15     all   46.12    0.00    5.63    0.00    0.00    0.00    0.00    0.00    0.00   48.25
07:16:16     all   44.55    0.00    3.50    0.00    0.00    0.00    0.00    0.00    0.00   51.96
07:16:17     all   38.43    0.00    4.55    0.00    0.00    0.01    0.00    0.00    0.00   57.00
07:16:18     all   37.05    0.00    3.82    0.00    0.00    0.00    0.00    0.00    0.00   59.13
07:16:19     all   39.83    0.00    3.68    0.00    0.00    0.01    0.00    0.00    0.00   56.47
07:16:20     all   28.00    0.00    3.58    0.00    0.00    0.01    0.00    0.00    0.00   68.40
07:16:21     all   34.81    0.00    3.44    0.00    0.00    0.00    0.00    0.00    0.00   61.75
07:16:22     all   25.96    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00   71.44
07:16:23     all   35.31    0.00    1.70    0.00    0.00    0.00    0.00    0.00    0.00   63.00
07:16:24     all   27.99    0.00    2.42    0.00    0.00    0.00    0.00    0.00    0.00   69.58
07:16:25     all   35.43    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   62.44
07:16:26     all   30.15    0.00    2.87    0.00    0.00    0.00    0.00    0.00    0.00   66.98
07:16:27     all   38.11    0.00    2.55    0.00    0.00    0.01    0.00    0.00    0.00   59.32
07:16:28     all   35.55    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   62.43
07:16:29     all   35.45    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   62.84
07:16:30     all   35.37    0.00    2.39    0.00    0.00    0.01    0.00    0.00    0.00   62.23
07:16:31     all   47.72    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   50.56
07:16:32     all   50.54    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   47.17
07:16:33     all   52.73    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   45.19
07:16:34     all   51.17    0.00    2.38    0.00    0.00    0.01    0.00    0.00    0.00   46.43
