Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:19:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:19:08     all   11.63    0.01    0.43    0.00    0.00    0.00    0.00    0.00    0.00   87.93
07:19:09     all    1.06    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   98.10
07:19:10     all    1.33    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.50
07:19:11     all    1.65    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.17
07:19:12     all    1.54    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.22
07:19:13     all    1.47    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.26
07:19:14     all    1.49    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.40
07:19:15     all    1.64    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.19
07:19:16     all    1.13    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   98.42
07:19:17     all    1.46    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.42
07:19:18     all    1.64    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.14
07:19:19     all    1.54    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.29
07:19:20     all    1.38    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.47
07:19:21     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
07:19:22     all    1.64    0.00    0.19    0.00    0.00    0.01    0.00    0.00    0.00   98.15
07:19:23     all   17.55    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   79.38
07:19:24     all   27.58    0.00    1.29    0.00    0.00    0.00    0.00    0.00    0.00   71.13
07:19:25     all   27.83    0.00    0.89    0.00    0.00    0.00    0.00    0.00    0.00   71.28
07:19:26     all   40.10    0.00    2.32    0.00    0.00    0.00    0.00    0.00    0.00   57.58
07:19:27     all   29.89    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   68.93
07:19:28     all   30.66    0.00    1.43    0.01    0.00    0.00    0.00    0.00    0.00   67.89
07:19:29     all   27.25    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   71.74
07:19:30     all   25.84    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   73.33
07:19:31     all   26.03    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   73.26
07:19:32     all   25.66    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   73.70
07:19:33     all   23.12    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   76.08
07:19:34     all   24.21    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   75.21
07:19:35     all   27.44    0.00    0.49    0.00    0.00    0.00    0.00    0.00    0.00   72.07
07:19:36     all   30.86    0.00    0.50    0.00    0.00    0.01    0.00    0.00    0.00   68.62
07:19:37     all   35.15    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   64.30
07:19:38     all   28.06    0.00    0.52    0.00    0.00    0.00    0.00    0.00    0.00   71.42
07:19:39     all   25.76    0.00    0.70    0.00    0.00    0.01    0.00    0.00    0.00   73.52
07:19:40     all   29.14    0.00    0.94    0.00    0.00    0.03    0.00    0.00    0.00   69.90
07:19:41     all   34.68    0.00    0.52    0.00    0.00    0.01    0.00    0.00    0.00   64.79
07:19:42     all   37.99    0.00    1.21    0.00    0.00    0.00    0.00    0.00    0.00   60.80
07:19:43     all   26.00    0.00    1.55    0.00    0.00    0.01    0.00    0.00    0.00   72.44
07:19:44     all   25.77    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   73.03
07:19:45     all   22.46    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   76.09
07:19:46     all   22.22    0.00    1.48    0.00    0.00    0.00    0.00    0.00    0.00   76.31
07:19:47     all   21.83    0.00    0.91    0.00    0.00    0.01    0.00    0.00    0.00   77.25
07:19:48     all   27.28    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   71.66
07:19:49     all   28.96    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   69.45
07:19:50     all   27.56    0.00    1.67    0.00    0.00    0.01    0.00    0.00    0.00   70.76
07:19:51     all   35.42    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   63.19
07:19:52     all   36.97    0.00    2.21    0.00    0.00    0.00    0.00    0.00    0.00   60.82
07:19:53     all   41.11    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   56.22
07:19:54     all   35.82    0.00    2.41    0.00    0.00    0.00    0.00    0.00    0.00   61.78
07:19:55     all   39.61    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   57.72
07:19:56     all   34.98    0.00    3.20    0.00    0.00    0.00    0.00    0.00    0.00   61.81
07:19:57     all   35.96    0.00    2.92    0.00    0.00    0.00    0.00    0.00    0.00   61.12
07:19:58     all   37.54    0.00    3.43    0.00    0.00    0.00    0.00    0.00    0.00   59.03
07:19:59     all   35.61    0.00    3.28    0.00    0.00    0.00    0.00    0.00    0.00   61.11
07:20:00     all   29.50    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   68.23
07:20:01     all   16.28    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   81.75
07:20:02     all   20.48    0.00    2.99    0.00    0.00    0.00    0.00    0.00    0.00   76.53
07:20:03     all   21.62    0.00    2.10    0.00    0.00    0.01    0.00    0.00    0.00   76.26
07:20:04     all   25.43    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   72.69
07:20:05     all   28.91    0.00    1.24    0.00    0.00    0.00    0.00    0.00    0.00   69.85
07:20:06     all   25.36    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   73.00
07:20:07     all   25.82    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   72.71
07:20:08     all   22.69    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   75.86
07:20:09     all   26.01    0.00    1.70    0.00    0.00    0.01    0.00    0.00    0.00   72.28
07:20:10     all   22.57    0.00    1.46    0.00    0.00    0.01    0.00    0.00    0.00   75.95
07:20:11     all   20.56    0.00    1.58    0.00    0.00    0.00    0.00    0.00    0.00   77.87
07:20:12     all   22.25    0.00    1.31    0.00    0.00    0.00    0.00    0.00    0.00   76.45
07:20:13     all   26.08    0.00    1.56    0.00    0.00    0.00    0.00    0.00    0.00   72.36
07:20:14     all   32.80    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   65.86
07:20:15     all   33.30    0.00    1.57    0.00    0.00    0.01    0.00    0.00    0.00   65.11
07:20:16     all   30.75    0.00    1.77    0.01    0.00    0.00    0.00    0.00    0.00   67.47
07:20:17     all   34.43    0.00    1.48    0.00    0.00    0.00    0.00    0.00    0.00   64.10
07:20:18     all   33.72    0.00    1.43    0.00    0.00    0.00    0.00    0.00    0.00   64.85
07:20:19     all   40.40    0.00    1.94    0.00    0.00    0.00    0.00    0.00    0.00   57.66
07:20:20     all   38.69    0.00    1.52    0.00    0.00    0.01    0.00    0.00    0.00   59.77
07:20:21     all   35.61    0.00    1.81    0.00    0.00    0.00    0.00    0.00    0.00   62.58
07:20:22     all   34.42    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   64.08
07:20:23     all   30.93    0.00    1.69    0.01    0.00    0.00    0.00    0.00    0.00   67.37
07:20:24     all   21.68    0.00    1.10    0.00    0.00    0.00    0.00    0.00    0.00   77.22
