Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:23:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:23:18     all   11.38    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   88.22
07:23:19     all    1.33    0.00    0.79    0.00    0.00    0.00    0.00    0.00    0.00   97.88
07:23:20     all    1.58    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.28
07:23:21     all    1.38    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.50
07:23:22     all    1.60    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.22
07:23:23     all    1.58    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.25
07:23:24     all    1.40    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.39
07:23:25     all    1.58    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.25
07:23:26     all    1.57    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.28
07:23:27     all    1.42    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.39
07:23:28     all    1.49    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.29
07:23:29     all    1.42    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   98.19
07:23:30     all    1.32    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.47
07:23:31     all    1.51    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.26
07:23:32     all    1.60    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.21
07:23:33     all    1.42    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.40
07:23:34     all    1.62    0.01    0.24    0.01    0.00    0.01    0.00    0.00    0.00   98.10
07:23:35     all    1.56    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.24
07:23:36     all    1.36    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.45
