Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:21:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:21:52     all   11.68    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   87.93
07:21:53     all    1.28    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   98.08
07:21:54     all    1.33    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.50
07:21:55     all    1.68    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.10
07:21:56     all    1.62    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.19
07:21:57     all    1.50    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   98.07
07:21:58     all    1.60    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.18
07:21:59     all    1.60    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.25
07:22:00     all    1.11    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   98.45
07:22:01     all    1.65    0.00    0.18    0.00    0.00    0.01    0.00    0.00    0.00   98.15
07:22:02     all    1.64    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.07
07:22:03     all    1.38    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.51
07:22:04     all    1.61    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.22
07:22:05     all    1.67    0.01    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.10
07:22:06     all    4.38    0.00    2.57    0.00    0.00    0.00    0.00    0.00    0.00   93.05
07:22:07     all   25.02    0.00    1.49    0.00    0.00    0.01    0.00    0.00    0.00   73.47
07:22:08     all   27.51    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   71.51
07:22:09     all   35.26    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00   63.05
07:22:10     all   31.32    0.00    1.38    0.00    0.00    0.00    0.00    0.00    0.00   67.30
07:22:11     all   27.37    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   71.30
07:22:12     all   27.41    0.00    1.11    0.01    0.00    0.01    0.00    0.00    0.00   71.45
07:22:13     all   25.29    0.00    1.30    0.00    0.00    0.00    0.00    0.00    0.00   73.42
07:22:14     all   23.74    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   75.68
07:22:15     all   24.87    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   74.42
07:22:16     all   23.73    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   75.74
07:22:17     all   24.83    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   74.62
07:22:18     all   19.98    0.00    0.49    0.00    0.00    0.00    0.00    0.00    0.00   79.53
07:22:19     all   23.28    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   76.32
07:22:20     all   25.68    0.00    0.40    0.00    0.00    0.01    0.00    0.00    0.00   73.90
07:22:21     all   28.74    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   70.66
07:22:22     all   34.43    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   64.92
07:22:23     all   30.50    0.00    0.68    0.00    0.00    0.01    0.00    0.00    0.00   68.80
07:22:24     all   24.06    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   75.33
07:22:25     all   23.39    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   75.87
07:22:26     all   33.61    0.00    0.70    0.00    0.00    0.01    0.00    0.00    0.00   65.68
07:22:27     all   37.41    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   61.79
07:22:28     all   31.12    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   67.60
07:22:29     all   25.01    0.01    1.46    0.00    0.00    0.01    0.00    0.00    0.00   73.50
07:22:30     all   22.20    0.00    1.46    0.00    0.00    0.01    0.00    0.00    0.00   76.32
07:22:31     all   22.13    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   76.53
07:22:32     all   20.47    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   78.44
07:22:33     all   22.29    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   76.55
07:22:34     all   26.33    0.00    1.41    0.00    0.00    0.00    0.00    0.00    0.00   72.26
07:22:35     all   26.12    0.00    1.25    0.00    0.00    0.01    0.00    0.00    0.00   72.61
07:22:36     all   25.39    0.00    1.21    0.00    0.00    0.00    0.00    0.00    0.00   73.40
07:22:37     all   35.95    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   62.79
07:22:38     all   36.25    0.00    2.95    0.00    0.00    0.00    0.00    0.00    0.00   60.80
07:22:39     all   33.67    0.00    2.73    0.00    0.00    0.01    0.00    0.00    0.00   63.59
07:22:40     all   37.98    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   60.01
07:22:41     all   36.59    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   60.90
07:22:42     all   34.07    0.00    3.28    0.00    0.00    0.00    0.00    0.00    0.00   62.64
07:22:43     all   37.36    0.00    2.81    0.00    0.00    0.00    0.00    0.00    0.00   59.83
