Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:50:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:50:37     all   11.63    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   88.03
07:50:38     all    0.92    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   98.30
07:50:39     all    1.70    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.04
07:50:40     all    1.97    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   97.79
07:50:41     all    1.32    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.47
07:50:42     all    1.70    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.04
07:50:43     all    1.63    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.15
07:50:44     all    1.58    0.03    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.99
07:50:45     all    1.22    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.28
07:50:46     all    1.58    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.28
07:50:47     all    1.47    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.32
07:50:48     all    1.46    0.01    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.42
07:50:49     all    1.60    0.00    0.21    0.01    0.00    0.00    0.00    0.00    0.00   98.18
07:50:50     all    1.65    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.93
07:50:51     all    2.34    0.00    0.89    0.00    0.00    0.00    0.00    0.00    0.00   96.77
07:50:52     all   19.33    0.00    2.63    0.00    0.00    0.00    0.00    0.00    0.00   78.03
07:50:53     all   29.01    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   69.63
07:50:54     all   36.84    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   61.57
07:50:55     all   40.16    0.00    2.46    0.00    0.00    0.00    0.00    0.00    0.00   57.38
07:50:56     all   34.96    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   63.30
07:50:57     all   34.92    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   63.80
07:50:58     all   32.58    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   66.36
