Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:32:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:32:43     all   11.36    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   88.28
06:32:44     all    1.32    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   98.10
06:32:45     all    1.53    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.28
06:32:46     all    1.56    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.24
06:32:47     all    1.88    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   97.81
06:32:48     all    1.78    0.01    0.25    0.00    0.00    0.01    0.00    0.00    0.00   97.94
06:32:49     all    1.39    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.42
06:32:50     all    1.65    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.19
06:32:51     all    1.58    0.00    0.87    0.00    0.00    0.00    0.00    0.00    0.00   97.54
06:32:52     all    1.35    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.49
06:32:53     all    1.53    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.35
06:32:54     all    1.56    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.30
06:32:55     all    1.42    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.36
06:32:56     all    1.61    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.12
06:32:57     all    1.54    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.32
06:32:58     all   21.40    0.00    8.47    0.00    0.00    0.00    0.00    0.00    0.00   70.13
06:32:59     all   28.55    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   70.86
06:33:00     all   52.05    0.00    3.53    0.00    0.00    0.00    0.00    0.00    0.00   44.42
06:33:01     all   51.07    0.00    4.07    0.00    0.00    0.00    0.00    0.00    0.00   44.87
06:33:02     all   32.19    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   65.79
06:33:03     all   30.80    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   67.60
06:33:04     all   30.04    0.00    1.12    0.00    0.00    0.00    0.00    0.00    0.00   68.85
06:33:05     all   27.31    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   71.91
06:33:06     all   26.56    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   72.71
