Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:34:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:34:15     all   11.64    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   88.01
06:34:16     all    1.18    0.00    0.70    0.00    0.00    0.00    0.00    0.00    0.00   98.12
06:34:17     all    1.40    0.00    0.26    0.00    0.00    0.01    0.00    0.00    0.00   98.32
06:34:18     all    2.00    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   97.79
06:34:19     all    1.32    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.17
06:34:20     all    1.44    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.38
06:34:21     all    1.57    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.21
06:34:22     all   17.92    0.00    9.29    0.00    0.00    0.00    0.00    0.00    0.00   72.79
06:34:23     all   15.04    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   84.57
06:34:24     all   16.65    0.00    0.32    0.00    0.00    0.01    0.00    0.00    0.00   83.02
06:34:25     all   33.31    0.00    2.49    0.00    0.00    0.00    0.00    0.00    0.00   64.20
06:34:26     all   33.85    0.00    3.13    0.00    0.00    0.00    0.00    0.00    0.00   63.01
06:34:27     all   22.77    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   75.45
06:34:28     all   17.03    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   81.64
06:34:29     all   16.03    0.00    1.13    0.00    0.00    0.00    0.00    0.00    0.00   82.85
06:34:30     all   17.05    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   81.94
06:34:31     all   17.35    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   81.65
06:34:32     all   16.62    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   82.57
06:34:33     all   15.67    0.00    0.52    0.00    0.00    0.00    0.00    0.00    0.00   83.81
06:34:34     all   13.44    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   86.24
06:34:35     all   13.49    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   86.10
06:34:36     all   13.15    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   86.63
06:34:37     all   13.47    0.00    0.32    0.00    0.00    0.01    0.00    0.00    0.00   86.20
06:34:38     all   16.26    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   83.53
06:34:39     all   22.11    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   77.47
06:34:40     all   23.20    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   76.25
06:34:41     all   20.84    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   78.93
06:34:42     all   17.12    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   82.42
