Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:31:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:31:29     all   11.63    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   87.84
06:31:30     all    1.17    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   98.01
06:31:31     all    1.58    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.04
06:31:32     all    1.40    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.46
06:31:33     all    1.36    0.01    0.47    0.00    0.00    0.00    0.00    0.00    0.00   98.15
06:31:34     all    1.56    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.15
06:31:35     all    1.38    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.48
06:31:36     all   11.08    0.00    2.93    0.00    0.00    0.00    0.00    0.00    0.00   85.98
06:31:37     all   14.75    0.00    0.93    0.00    0.00    0.00    0.00    0.00    0.00   84.32
06:31:38     all   13.60    0.00    0.77    0.00    0.00    0.00    0.00    0.00    0.00   85.63
06:31:39     all   15.24    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   84.15
06:31:40     all   16.58    0.00    0.46    0.01    0.00    0.00    0.00    0.00    0.00   82.95
06:31:41     all   25.83    0.00    1.95    0.00    0.00    0.00    0.00    0.00    0.00   72.22
06:31:42     all   18.21    0.00    1.68    0.00    0.00    0.00    0.00    0.00    0.00   80.11
06:31:43     all   20.10    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   78.41
06:31:44     all   18.81    0.00    1.31    0.00    0.00    0.00    0.00    0.00    0.00   79.88
06:31:45     all   20.01    0.00    1.41    0.00    0.00    0.01    0.00    0.00    0.00   78.57
06:31:46     all   16.94    0.00    1.36    0.00    0.00    0.01    0.00    0.00    0.00   81.69
06:31:47     all   15.74    0.00    1.11    0.00    0.00    0.01    0.00    0.00    0.00   83.13
06:31:48     all   16.41    0.00    0.63    0.00    0.00    0.01    0.00    0.00    0.00   82.95
06:31:49     all   17.33    0.00    0.69    0.00    0.00    0.00    0.00    0.00    0.00   81.97
06:31:50     all   17.06    0.00    0.68    0.00    0.00    0.03    0.00    0.00    0.00   82.23
06:31:51     all   16.67    0.00    0.86    0.00    0.00    0.01    0.00    0.00    0.00   82.46
06:31:52     all   13.09    0.00    0.65    0.00    0.00    0.01    0.00    0.00    0.00   86.24
06:31:53     all   15.61    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   83.94
06:31:54     all   16.17    0.00    0.42    0.00    0.00    0.01    0.00    0.00    0.00   83.39
06:31:55     all   18.16    0.00    0.31    0.00    0.00    0.03    0.00    0.00    0.00   81.50
06:31:56     all   21.87    0.00    0.39    0.00    0.00    0.01    0.00    0.00    0.00   77.73
06:31:57     all   23.62    0.00    0.54    0.00    0.00    0.01    0.00    0.00    0.00   75.83
06:31:58     all   22.67    0.00    0.50    0.00    0.00    0.01    0.00    0.00    0.00   76.82
06:31:59     all   16.08    0.00    0.29    0.00    0.00    0.03    0.00    0.00    0.00   83.60
06:32:00     all   16.80    0.00    0.49    0.00    0.00    0.01    0.00    0.00    0.00   82.70
06:32:01     all   14.74    0.00    0.45    0.00    0.00    0.01    0.00    0.00    0.00   84.80
06:32:02     all   22.30    0.00    0.46    0.00    0.00    0.03    0.00    0.00    0.00   77.21
06:32:03     all   22.76    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   76.60
06:32:04     all   27.97    0.00    0.60    0.00    0.00    0.01    0.00    0.00    0.00   71.42
06:32:05     all   18.61    0.00    1.16    0.00    0.00    0.00    0.00    0.00    0.00   80.23
06:32:06     all   17.86    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   80.55
06:32:07     all   15.20    0.00    1.25    0.00    0.00    0.00    0.00    0.00    0.00   83.55
06:32:08     all   14.56    0.00    0.86    0.00    0.00    0.01    0.00    0.00    0.00   84.56
