Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

09:18:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:18:13     all   12.17    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   87.05
09:18:14     all    1.14    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   98.03
09:18:15     all    1.32    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.44
09:18:16     all    1.72    0.00    0.22    0.01    0.00    0.00    0.00    0.00    0.00   98.04
09:18:17     all    1.61    0.00    0.28    0.03    0.00    0.00    0.00    0.00    0.00   98.08
09:18:18     all    1.76    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.93
09:18:19     all    1.53    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:18:20     all    1.65    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.10
09:18:21     all    1.08    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   98.44
09:18:22     all    1.52    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.30
09:18:23     all    1.60    0.01    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.22
09:18:24     all    1.57    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:18:25     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
09:18:26     all    1.58    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:18:27     all    1.56    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:18:28     all   21.10    0.00    3.37    0.00    0.00    0.01    0.00    0.00    0.00   75.52
09:18:29     all   30.14    0.00    1.73    0.00    0.00    0.01    0.00    0.00    0.00   68.12
09:18:30     all   32.89    0.00    1.09    0.00    0.00    0.00    0.00    0.00    0.00   66.03
09:18:31     all   41.24    0.00    2.70    0.00    0.00    0.00    0.00    0.00    0.00   56.06
09:18:32     all   35.55    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00   62.76
09:18:33     all   34.79    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   63.54
09:18:34     all   30.82    0.00    1.11    0.00    0.00    0.00    0.00    0.00    0.00   68.06
09:18:35     all   31.56    0.00    0.85    0.00    0.00    0.03    0.00    0.00    0.00   67.56
09:18:36     all   33.28    0.00    0.77    0.00    0.00    0.01    0.00    0.00    0.00   65.94
09:18:37     all   26.88    0.00    0.77    0.00    0.00    0.01    0.00    0.00    0.00   72.34
09:18:38     all   31.73    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   67.76
09:18:39     all   36.61    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   62.64
09:18:40     all   41.98    0.00    0.74    0.00    0.00    0.00    0.00    0.00    0.00   57.28
09:18:41     all   30.47    0.00    0.63    0.00    0.00    0.01    0.00    0.00    0.00   68.89
09:18:42     all   28.04    0.00    0.74    0.00    0.00    0.01    0.00    0.00    0.00   71.21
09:18:43     all   41.41    0.00    0.67    0.01    0.00    0.01    0.00    0.00    0.00   57.89
09:18:44     all   42.82    0.00    1.36    0.00    0.00    0.00    0.00    0.00    0.00   55.82
09:18:45     all   32.03    0.00    2.48    0.00    0.00    0.00    0.00    0.00    0.00   65.49
09:18:46     all   27.62    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   70.99
09:18:47     all   21.85    0.00    0.93    0.00    0.00    0.00    0.00    0.00    0.00   77.22
09:18:48     all   26.13    0.00    1.32    0.01    0.00    0.00    0.00    0.00    0.00   72.53
09:18:49     all   29.50    0.01    1.11    0.00    0.00    0.01    0.00    0.00    0.00   69.36
09:18:50     all   31.89    0.00    1.82    0.00    0.00    0.00    0.00    0.00    0.00   66.29
09:18:51     all   31.78    0.00    1.42    0.00    0.00    0.01    0.00    0.00    0.00   66.79
09:18:52     all   38.33    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   60.18
09:18:53     all   42.23    0.00    2.74    0.00    0.00    0.00    0.00    0.00    0.00   55.02
09:18:54     all   48.82    0.00    3.17    0.00    0.00    0.00    0.00    0.00    0.00   48.01
09:18:55     all   43.04    0.00    3.25    0.00    0.00    0.00    0.00    0.00    0.00   53.71
09:18:56     all   47.33    0.00    3.33    0.00    0.00    0.00    0.00    0.00    0.00   49.34
09:18:57     all   43.84    0.00    2.90    0.00    0.00    0.01    0.00    0.00    0.00   53.24
09:18:58     all   41.37    0.00    3.65    0.00    0.00    0.00    0.00    0.00    0.00   54.98
09:18:59     all   29.27    0.00    2.06    0.00    0.00    0.01    0.00    0.00    0.00   68.66
09:19:00     all   38.27    0.00    2.92    0.00    0.00    0.00    0.00    0.00    0.00   58.81
09:19:01     all   23.71    0.00    2.40    0.00    0.00    0.00    0.00    0.00    0.00   73.89
09:19:02     all   23.25    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   74.77
09:19:03     all   26.89    0.00    1.57    0.00    0.00    0.00    0.00    0.00    0.00   71.54
09:19:04     all   28.97    0.00    1.84    0.00    0.00    0.00    0.00    0.00    0.00   69.19
09:19:05     all   30.20    0.00    1.94    0.00    0.00    0.01    0.00    0.00    0.00   67.85
09:19:06     all   30.13    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   68.10
09:19:07     all   28.41    0.00    2.40    0.00    0.00    0.00    0.00    0.00    0.00   69.19
09:19:08     all   24.34    0.00    1.82    0.00    0.00    0.00    0.00    0.00    0.00   73.84
09:19:09     all   14.10    0.08    1.18    0.00    0.00    0.00    0.00    0.00    0.00   84.63
09:19:10     all    3.86    0.00    1.57    0.00    0.00    0.00    0.00    0.00    0.00   94.57
09:19:11     all    1.42    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.28
09:19:12     all    1.26    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.49
09:19:13     all    1.57    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.15
09:19:14     all    1.45    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.26
09:19:15     all    1.44    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:19:16     all    1.47    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.28
09:19:17     all    1.53    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   97.88
09:19:18     all    1.22    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.49
09:19:19     all    1.46    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.25
09:19:20     all    1.79    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   97.85
09:19:21     all    1.47    0.00    0.40    0.00    0.00    0.01    0.00    0.00    0.00   98.11
09:19:22     all    1.43    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.29
09:19:23     all    1.49    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   98.09
09:19:24     all    1.19    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.40
09:19:25     all    2.17    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.33
09:19:26     all    1.58    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.12
09:19:27     all    1.10    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   98.37
09:19:28     all    1.43    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.07
09:19:29     all    1.42    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   98.19
09:19:30     all    1.42    0.00    0.32    0.01    0.00    0.00    0.00    0.00    0.00   98.25
09:19:31     all    1.54    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.21
09:19:32     all    1.54    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.22
Average:     all   18.04    0.00    1.10    0.00    0.00    0.00    0.00    0.00    0.00   80.86
