Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:08:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:08:48     all   11.54    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   88.10
07:08:49     all    1.00    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   98.19
07:08:50     all    1.53    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.29
07:08:51     all    1.57    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.25
07:08:52     all    1.43    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.38
07:08:53     all    1.65    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.05
07:08:54     all    1.96    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   97.82
07:08:55     all    1.47    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.33
07:08:56     all    1.26    0.00    0.43    0.00    0.00    0.00    0.00    0.00    0.00   98.30
07:08:57     all    1.56    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.21
07:08:58     all    1.38    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.51
07:08:59     all    1.62    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.14
07:09:00     all    1.56    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.28
07:09:01     all    1.38    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.44
07:09:02     all    1.60    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.28
07:09:03     all   17.48    0.00    3.13    0.01    0.00    0.00    0.00    0.00    0.00   79.37
07:09:04     all   29.64    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   68.97
07:09:05     all   32.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   66.98
07:09:06     all   41.57    0.00    3.34    0.00    0.00    0.00    0.00    0.00    0.00   55.09
07:09:07     all   35.36    0.00    2.74    0.00    0.00    0.00    0.00    0.00    0.00   61.90
07:09:08     all   33.71    0.01    2.58    0.00    0.00    0.00    0.00    0.00    0.00   63.70
07:09:09     all   28.87    0.00    1.85    0.00    0.00    0.00    0.00    0.00    0.00   69.27
07:09:10     all   31.20    0.00    0.77    0.00    0.00    0.00    0.00    0.00    0.00   68.04
07:09:11     all   32.83    0.00    0.85    0.00    0.00    0.00    0.00    0.00    0.00   66.32
07:09:12     all   28.65    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   70.63
07:09:13     all   31.43    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   67.97
07:09:14     all   36.72    0.01    0.59    0.00    0.00    0.00    0.00    0.00    0.00   62.68
07:09:15     all   41.83    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   57.46
07:09:16     all   30.71    0.00    0.40    0.00    0.00    0.01    0.00    0.00    0.00   68.87
07:09:17     all   28.23    0.00    0.68    0.00    0.00    0.01    0.00    0.00    0.00   71.07
07:09:18     all   37.75    0.00    0.70    0.00    0.00    0.01    0.00    0.00    0.00   61.54
07:09:19     all   43.70    0.00    1.35    0.00    0.00    0.00    0.00    0.00    0.00   54.95
07:09:20     all   32.16    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   66.17
07:09:21     all   26.97    0.00    1.48    0.00    0.00    0.00    0.00    0.00    0.00   71.56
07:09:22     all   21.33    0.00    1.56    0.00    0.00    0.00    0.00    0.00    0.00   77.11
07:09:23     all   27.44    0.00    1.85    0.00    0.00    0.01    0.00    0.00    0.00   70.69
07:09:24     all   27.24    0.00    1.74    0.00    0.00    0.00    0.00    0.00    0.00   71.02
07:09:25     all   27.84    0.00    1.96    0.00    0.00    0.01    0.00    0.00    0.00   70.18
07:09:26     all   29.79    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   68.24
07:09:27     all   34.01    0.00    1.91    0.00    0.00    0.01    0.00    0.00    0.00   64.07
07:09:28     all   42.41    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   55.07
07:09:29     all   41.87    0.00    3.34    0.00    0.00    0.01    0.00    0.00    0.00   54.78
07:09:30     all   44.05    0.00    3.83    0.00    0.00    0.00    0.00    0.00    0.00   52.12
07:09:31     all   41.58    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   54.34
07:09:32     all   42.78    0.00    4.62    0.00    0.00    0.00    0.00    0.00    0.00   52.60
07:09:33     all   33.09    0.00    4.81    0.00    0.00    0.00    0.00    0.00    0.00   62.10
07:09:34     all   37.38    0.00    3.91    0.00    0.00    0.00    0.00    0.00    0.00   58.71
07:09:35     all   28.56    0.00    3.77    0.00    0.00    0.00    0.00    0.00    0.00   67.67
07:09:36     all   29.52    0.00    3.05    0.00    0.00    0.00    0.00    0.00    0.00   67.43
07:09:37     all   24.26    0.00    3.14    0.00    0.00    0.00    0.00    0.00    0.00   72.60
07:09:38     all   30.01    0.00    2.49    0.00    0.00    0.01    0.00    0.00    0.00   67.48
07:09:39     all   28.64    0.00    2.74    0.00    0.00    0.00    0.00    0.00    0.00   68.62
07:09:40     all   30.12    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   67.60
07:09:41     all   23.51    0.00    3.05    0.00    0.00    0.00    0.00    0.00    0.00   73.44
07:09:42     all   24.73    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   73.24
07:09:43     all   23.49    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   74.73
07:09:44     all   24.15    0.00    1.83    0.00    0.00    0.00    0.00    0.00    0.00   74.03
07:09:45     all   26.92    0.00    1.94    0.00    0.00    0.00    0.00    0.00    0.00   71.14
07:09:46     all   27.00    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   71.04
07:09:47     all   24.84    0.00    1.84    0.00    0.00    0.01    0.00    0.00    0.00   73.31
07:09:48     all   26.56    0.00    1.93    0.00    0.00    0.00    0.00    0.00    0.00   71.50
07:09:49     all   31.92    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   66.45
07:09:50     all   38.35    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   60.19
07:09:51     all   40.69    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   57.52
07:09:52     all   48.64    0.00    2.83    0.00    0.00    0.00    0.00    0.00    0.00   48.53
07:09:53     all   42.40    0.00    2.08    0.00    0.00    0.01    0.00    0.00    0.00   55.50
07:09:54     all   40.49    0.00    2.15    0.00    0.00    0.00    0.00    0.00    0.00   57.36
07:09:55     all   35.63    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   62.48
07:09:56     all   45.08    0.00    2.33    0.01    0.00    0.00    0.00    0.00    0.00   52.58
07:09:57     all   38.31    0.00    1.95    0.00    0.00    0.00    0.00    0.00    0.00   59.75
07:09:58     all   32.05    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   65.67
07:09:59     all   36.65    0.00    1.66    0.00    0.00    0.01    0.00    0.00    0.00   61.68
07:10:00     all   36.90    0.00    1.85    0.00    0.00    0.00    0.00    0.00    0.00   61.25
07:10:01     all   22.77    0.00    3.40    0.00    0.00    0.03    0.00    0.00    0.00   73.79
07:10:02     all   23.35    0.00    3.20    0.00    0.00    0.00    0.00    0.00    0.00   73.45
07:10:03     all   38.00    0.00    5.34    0.06    0.00    0.03    0.00    0.00    0.00   56.58
07:10:04     all   23.47    0.00    4.18    0.03    0.00    0.00    0.00    0.00    0.00   72.32
07:10:05     all    5.60    0.00    2.07    0.00    0.00    0.00    0.00    0.00    0.00   92.32
07:10:06     all    1.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.75
07:10:07     all    1.12    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   98.49
07:10:08     all    1.42    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.29
07:10:09     all    1.43    0.00    0.31    0.03    0.00    0.00    0.00    0.00    0.00   98.24
07:10:10     all    1.21    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.39
07:10:11     all    1.54    0.00    0.44    0.00    0.00    0.01    0.00    0.00    0.00   98.00
07:10:12     all    1.53    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   97.91
07:10:13     all    1.19    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.60
07:10:14     all    1.60    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.11
07:10:15     all    1.49    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.25
07:10:16     all    1.28    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   98.43
07:10:17     all    1.51    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.08
07:10:18     all    1.40    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.33
07:10:19     all    1.29    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.44
07:10:20     all    1.51    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.24
07:10:21     all    1.97    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.53
07:10:22     all    1.17    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.53
07:10:23     all    1.42    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   98.24
07:10:24     all    1.39    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.31
07:10:25     all    1.24    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.50
07:10:26     all    1.40    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.08
07:10:27     all    1.40    0.00    0.43    0.01    0.00    0.00    0.00    0.00    0.00   98.15
Average:     all   20.86    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   77.61
