Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:29:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:29:08     all   11.45    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   88.20
06:29:09     all    1.12    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.11
06:29:10     all    1.53    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.26
06:29:11     all    1.58    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.14
06:29:12     all    1.53    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.32
06:29:13     all    1.49    0.00    0.17    0.01    0.00    0.00    0.00    0.00    0.00   98.33
06:29:14     all    1.42    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.42
06:29:15     all    1.64    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.19
06:29:16     all    1.33    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   98.21
06:29:17     all    1.46    0.01    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.31
06:29:18     all    1.81    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   97.93
06:29:19     all    1.53    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   98.36
06:29:20     all    1.40    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.40
06:29:21     all    1.62    0.00    0.26    0.01    0.00    0.00    0.00    0.00    0.00   98.10
06:29:22     all    5.78    0.00    2.71    0.00    0.00    0.00    0.00    0.00    0.00   91.51
06:29:23     all   20.30    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   78.19
06:29:24     all   30.75    0.00    1.23    0.00    0.00    0.00    0.00    0.00    0.00   68.03
06:29:25     all   39.34    0.00    1.62    0.00    0.00    0.00    0.00    0.00    0.00   59.04
06:29:26     all   36.85    0.00    3.48    0.00    0.00    0.00    0.00    0.00    0.00   59.67
06:29:27     all   35.27    0.00    2.55    0.00    0.00    0.00    0.00    0.00    0.00   62.19
06:29:28     all   32.37    0.00    2.38    0.00    0.00    0.01    0.00    0.00    0.00   65.24
06:29:29     all   32.41    0.00    1.11    0.00    0.00    0.00    0.00    0.00    0.00   66.48
06:29:30     all   31.73    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   67.68
06:29:31     all   31.30    0.00    0.53    0.00    0.00    0.00    0.00    0.00    0.00   68.17
06:29:32     all   29.23    0.00    0.84    0.00    0.00    0.00    0.00    0.00    0.00   69.94
06:29:33     all   33.96    0.01    0.57    0.00    0.00    0.01    0.00    0.00    0.00   65.44
06:29:34     all   36.42    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   62.99
06:29:35     all   38.49    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   60.84
06:29:36     all   28.72    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   70.73
06:29:37     all   28.22    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   71.23
06:29:38     all   40.57    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   58.89
06:29:39     all   39.79    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   58.32
06:29:40     all   28.34    0.00    2.46    0.00    0.00    0.00    0.00    0.00    0.00   69.20
06:29:41     all   28.02    0.00    1.84    0.00    0.00    0.03    0.00    0.00    0.00   70.12
06:29:42     all   23.89    0.00    1.16    0.00    0.00    0.01    0.00    0.00    0.00   74.94
06:29:43     all   25.61    0.00    1.56    0.00    0.00    0.00    0.00    0.00    0.00   72.83
06:29:44     all   27.33    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   71.69
06:29:45     all   31.08    0.00    1.79    0.00    0.00    0.00    0.00    0.00    0.00   67.14
06:29:46     all   30.66    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   67.58
06:29:47     all   37.31    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   60.42
06:29:48     all   37.86    0.00    2.56    0.00    0.00    0.00    0.00    0.00    0.00   59.58
06:29:49     all   35.14    0.00    2.80    0.00    0.00    0.00    0.00    0.00    0.00   62.06
06:29:50     all   46.43    0.00    4.54    0.00    0.00    0.00    0.00    0.00    0.00   49.03
06:29:51     all   38.45    0.00    4.69    0.00    0.00    0.00    0.00    0.00    0.00   56.86
06:29:52     all   36.70    0.00    4.58    0.00    0.00    0.01    0.00    0.00    0.00   58.70
06:29:53     all   45.23    0.00    4.27    0.00    0.00    0.03    0.00    0.00    0.00   50.47
06:29:54     all   32.73    0.00    5.11    0.00    0.00    0.00    0.00    0.00    0.00   62.17
06:29:55     all   33.76    0.00    4.03    0.01    0.00    0.00    0.00    0.00    0.00   62.19
06:29:56     all   31.05    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   65.89
06:29:57     all   25.54    0.00    2.41    0.00    0.00    0.01    0.00    0.00    0.00   72.04
06:29:58     all   27.11    0.00    2.38    0.00    0.00    0.01    0.00    0.00    0.00   70.50
06:29:59     all   30.08    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   68.17
06:30:00     all   30.97    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   67.52
06:30:01     all   29.18    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   68.30
06:30:02     all   24.98    0.00    2.33    0.00    0.00    0.03    0.00    0.00    0.00   72.66
06:30:03     all   20.68    0.00    2.02    0.00    0.00    0.03    0.00    0.00    0.00   77.27
06:30:04     all   27.28    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   70.67
06:30:05     all   25.33    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   72.60
06:30:06     all   22.06    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   76.18
06:30:07     all   20.79    0.00    1.49    0.01    0.00    0.00    0.00    0.00    0.00   77.70
06:30:08     all   36.34    0.00    1.64    0.00    0.00    0.00    0.00    0.00    0.00   62.02
06:30:09     all   36.94    0.00    1.37    0.00    0.00    0.00    0.00    0.00    0.00   61.70
06:30:10     all   35.67    0.00    1.60    0.01    0.00    0.00    0.00    0.00    0.00   62.72
06:30:11     all   35.31    0.00    2.28    0.00    0.00    0.01    0.00    0.00    0.00   62.40
06:30:12     all   43.92    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   53.57
06:30:13     all   43.07    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00   54.76
06:30:14     all   45.49    0.01    3.10    0.00    0.00    0.01    0.00    0.00    0.00   51.38
06:30:15     all   41.43    0.00    2.68    0.00    0.00    0.03    0.00    0.00    0.00   55.87
06:30:16     all   42.54    0.00    2.62    0.00    0.00    0.00    0.00    0.00    0.00   54.83
06:30:17     all   30.20    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   67.28
06:30:18     all   22.20    0.00    2.37    0.00    0.00    0.00    0.00    0.00    0.00   75.44
06:30:19     all   22.86    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   75.54
06:30:20     all   35.42    0.00    1.73    0.00    0.00    0.00    0.00    0.00    0.00   62.86
06:30:21     all   30.00    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   68.66
06:30:22     all   34.19    0.00    1.89    0.00    0.00    0.00    0.00    0.00    0.00   63.92
06:30:23     all   31.40    0.00    1.87    0.00    0.00    0.00    0.00    0.00    0.00   66.74
06:30:24     all   12.80    0.00    1.24    0.00    0.00    0.00    0.00    0.00    0.00   85.96
