Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

06:29:32      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:29:33        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:33        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:34        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:34        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:35        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:35        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:36        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:36        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:37        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:37        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:38        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:38        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:39        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:39        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:40        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:40        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:41        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:41        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:42        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:42        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:43        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:43        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:44        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:44        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:45        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:45        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:46        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:46        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:47        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:47        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:48        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:48        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:49        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:49        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:50        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:50        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:51        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:51        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
06:29:52        0   1074717         -    0.00    0.00    0.00    0.00    0.00    30  bash
06:29:52        0         -   1074717    0.00    0.00    0.00    0.00    0.00    30  |__bash
Average:        0   1074717         -    0.00    0.00    0.00    0.00    0.00     -  bash
Average:        0         -   1074717    0.00    0.00    0.00    0.00    0.00     -  |__bash
