Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

16:46:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:46:29     all   11.88    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   87.58
16:46:30     all    0.99    0.00    0.89    0.00    0.00    0.00    0.00    0.00    0.00   98.12
16:46:31     all    1.53    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   98.19
16:46:32     all    1.64    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.10
16:46:33     all    1.57    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.13
16:46:34     all    1.58    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.17
16:46:35     all    1.54    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.22
16:46:36     all    1.42    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.42
16:46:37     all    1.74    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.97
16:46:38     all    1.64    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   97.91
16:46:39     all    1.35    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.44
16:46:40     all    1.61    0.01    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.17
16:46:41     all    1.62    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.15
16:46:42     all    1.51    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   98.17
16:46:43     all    1.97    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   97.74
16:46:44     all    1.31    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   98.22
16:46:45     all    1.36    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.40
16:46:46     all    1.78    0.00    0.28    0.00    0.00    0.00    0.00    0.00    0.00   97.94
16:46:47     all    1.89    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.78
16:46:48     all    1.38    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.46
16:46:49     all    1.60    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.17
16:46:50     all    1.53    0.00    0.22    0.00    0.00    0.01    0.00    0.00    0.00   98.24
16:46:51     all    1.42    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.40
