Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

16:27:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:27:45     all   11.68    0.00    0.57    0.00    0.00    0.00    0.00    0.00    0.00   87.75
16:27:46     all    1.35    0.00    0.92    0.01    0.00    0.00    0.00    0.00    0.00   97.72
16:27:47     all    1.60    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.26
16:27:48     all    1.64    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.05
16:27:49     all    1.39    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   98.31
16:27:50     all    1.49    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.31
16:27:51     all    1.57    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.24
16:27:52     all    1.46    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.33
16:27:53     all    1.53    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.31
16:27:54     all    1.61    0.00    0.35    0.00    0.00    0.00    0.00    0.00    0.00   98.04
16:27:55     all    1.43    0.01    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.37
16:27:56     all    1.64    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.14
16:27:57     all    2.18    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   97.38
16:27:58     all    1.58    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.17
16:27:59     all    1.61    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.01
16:28:00     all    1.33    0.00    0.46    0.00    0.00    0.01    0.00    0.00    0.00   98.19
16:28:01     all    1.44    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.32
16:28:02     all    1.60    0.00    0.26    0.00    0.00    0.00    0.00    0.00    0.00   98.14
16:28:03     all    1.60    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.25
16:28:04     all    1.57    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.22
16:28:05     all    1.50    0.00    0.29    0.01    0.00    0.00    0.00    0.00    0.00   98.19
16:28:06     all    2.04    0.00    0.31    0.00    0.00    0.00    0.00    0.00    0.00   97.65
16:28:07     all    1.53    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.29
16:28:08     all    1.51    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.28
16:28:09     all    1.65    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.14
16:28:10     all    1.62    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.97
16:28:11     all    1.36    0.00    0.17    0.01    0.00    0.00    0.00    0.00    0.00   98.46
16:28:12     all    1.63    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   98.19
16:28:13     all    8.46    0.00    1.70    0.00    0.00    0.00    0.00    0.00    0.00   89.84
16:28:14     all   40.15    0.00    3.70    0.00    0.00    0.00    0.00    0.00    0.00   56.15
16:28:15     all   46.05    0.00    3.85    0.00    0.00    0.01    0.00    0.00    0.00   50.08
16:28:16     all   46.72    0.00    7.10    0.00    0.00    0.00    0.00    0.00    0.00   46.18
16:28:17     all   38.99    0.00    5.07    0.00    0.00    0.00    0.00    0.00    0.00   55.95
16:28:18     all   35.19    0.00    4.59    0.00    0.00    0.00    0.00    0.00    0.00   60.22
16:28:19     all   34.98    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   61.86
16:28:20     all   35.60    0.00    3.29    0.00    0.00    0.00    0.00    0.00    0.00   61.12
16:28:21     all   34.96    0.00    2.85    0.00    0.00    0.01    0.00    0.00    0.00   62.18
16:28:22     all   42.04    0.00    1.97    0.00    0.00    0.00    0.00    0.00    0.00   55.99
