Linux 6.8.0-136-generic (856a17914eb3) 	08/10/26 	_x86_64_	(72 CPU)

07:31:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:31:57     all   11.45    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   88.22
07:31:58     all    1.14    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   98.03
07:31:59     all    1.33    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.50
07:32:00     all    1.64    0.00    0.22    0.00    0.00    0.00    0.00    0.00    0.00   98.14
07:32:01     all    1.54    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.21
07:32:02     all    1.35    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.46
07:32:03     all    1.68    0.00    0.24    0.00    0.00    0.00    0.00    0.00    0.00   98.08
07:32:04     all    1.57    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   98.28
07:32:05     all    1.35    0.00    0.85    0.01    0.00    0.00    0.00    0.00    0.00   97.79
07:32:06     all    1.63    0.00    0.22    0.01    0.00    0.00    0.00    0.00    0.00   98.14
07:32:07     all    1.54    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   98.26
07:32:08     all    1.33    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.53
07:32:09     all    1.61    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   98.25
07:32:10     all    1.71    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.08
07:32:11     all    1.42    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   98.42
07:32:12     all    9.85    0.00    3.36    0.00    0.00    0.00    0.00    0.00    0.00   86.78
07:32:13     all   29.16    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   69.24
07:32:14     all   28.56    0.00    0.85    0.00    0.00    0.03    0.00    0.00    0.00   70.57
07:32:15     all   38.99    0.00    2.84    0.00    0.00    0.00    0.00    0.00    0.00   58.17
07:32:16     all   33.49    0.00    2.70    0.00    0.00    0.00    0.00    0.00    0.00   63.81
07:32:17     all   35.56    0.00    2.38    0.00    0.00    0.00    0.00    0.00    0.00   62.06
07:32:18     all   29.57    0.00    2.16    0.00    0.00    0.01    0.00    0.00    0.00   68.25
07:32:19     all   31.12    0.00    1.31    0.00    0.00    0.01    0.00    0.00    0.00   67.55
07:32:20     all   31.27    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   68.06
07:32:21     all   29.48    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   69.51
07:32:22     all   31.61    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   67.89
07:32:23     all   34.91    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   64.50
07:32:24     all   39.19    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   60.23
07:32:25     all   35.23    0.00    0.63    0.01    0.00    0.00    0.00    0.00    0.00   64.12
07:32:26     all   30.18    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   69.27
07:32:27     all   35.83    0.01    0.61    0.00    0.00    0.01    0.00    0.00    0.00   63.53
07:32:28     all   45.05    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   54.20
07:32:29     all   33.43    0.00    2.45    0.00    0.00    0.00    0.00    0.00    0.00   64.12
07:32:30     all   29.00    0.00    1.95    0.00    0.00    0.00    0.00    0.00    0.00   69.05
07:32:31     all   22.83    0.00    1.28    0.00    0.00    0.00    0.00    0.00    0.00   75.89
07:32:32     all   23.80    0.00    1.45    0.00    0.00    0.00    0.00    0.00    0.00   74.75
07:32:33     all   27.54    0.00    1.25    0.00    0.00    0.01    0.00    0.00    0.00   71.19
07:32:34     all   30.78    0.00    1.44    0.00    0.00    0.00    0.00    0.00    0.00   67.78
07:32:35     all   32.46    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00   65.37
07:32:36     all   29.40    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   69.21
07:32:37     all   38.47    0.00    2.80    0.00    0.00    0.00    0.00    0.00    0.00   58.73
07:32:38     all   44.91    0.00    3.01    0.00    0.00    0.00    0.00    0.00    0.00   52.08
07:32:39     all   39.36    0.00    3.90    0.00    0.00    0.00    0.00    0.00    0.00   56.74
